name,method,meter,subdivide,percentile,hop,backtrack,count,first_points_preview
downbeat_4/4,downbeat,4,2,75.0,256,True,77,2380 4249 6351 8382 10612 12504 14594 16625 18866 20910
accent_p70,accent,4,2,70.0,256,True,309,0 1869 2380 2902 3239 3750 4249 4783 5317 5817
accent_p60,accent,4,2,60.0,256,True,309,0 1869 2380 2902 3239 3750 4249 4783 5317 5817
onsets_p70,onsets,4,2,70.0,256,True,70,7546 15430 18530 19725 20236 22117 22291 22454 22639 24369
onsets_p60,onsets,4,2,60.0,256,True,110,7546 15430 18530 19725 20236 22117 22291 22454 22639 24369
onsets_p50,onsets,4,2,50.0,256,True,897,1533 1695 1869 2032 2380 2577 2740 2902 3065 3239
tatums_x2,tatums,4,2,75.0,256,True,616,935 1869 2125 2380 2641 2902 3071 3239 3495 3750
tatums_x4,tatums,4,4,75.0,256,True,1232,467 935 1402 1869 1997 2125 2252 2380 2511 2641
tatums_x8,tatums,4,8,75.0,256,True,2464,234 467 701 935 1168 1402 1636 1869 1933 1997
onsets_p60_h128,onsets,4,2,60.0,128,True,148,7546 10809 12858 15435 18524 19226 19725 20236 21566 22111
